message,intent
URGENT: Landslide in Wattala. 20 houses buried. Need rescue team immediately.,Rescue
Boat capsized in Wellampitiya. 15 people in the water. Need help!,Rescue
River overflow in Kandy. Level 11.0m. Critical warning issued.,Utility
Gampaha hospital is requesting urgent medicine for 2 patients.,Medical
Electricity restored in some parts of Badulla. Infrastructure stable.,Utility
Donation drive happening at the town hall in Kegalle tomorrow.,Other
Just arrived at the shelter in Colombo. It's crowded but safe.,Other
Just saw on news that Colombo town is flooded. Hope everyone is safe.,Other
Donation drive happening at the town hall in Gampaha tomorrow.,Other
The government has allocated relief funds for the Badulla district.,Other
Help! My grandmother is bedridden and the water is knee deep. Location: Colombo.,Medical
Help! My grandfather is bedridden and the water is knee deep. Location: Kegalle.,Medical
Does anyone have extra dry rations for the camp in Matara?,Supply
SOS: 3 people trapped on a roof in Colombo. Water rising fast.,Rescue
Emergency: Kandy area flooded. People stranded on top of a van.,Rescue
Is the highway open? I need to get to the airport from Ratnapura.,Utility
The government has allocated relief funds for the Colombo district.,Other
Kalutara bridge is at risk of collapse. Police have closed it.,Utility
Does anyone have extra dry rations for the camp in Wellampitiya?,Supply
Electricity restored in some parts of Colombo. Infrastructure stable.,Utility
Need ambulance to Kelaniya for an elderly person with chest pain.,Medical
Need ambulance to Kolonnawa for an elderly person with chest pain.,Medical
We need milk powder and diapers for 16 babies at the Kandy camp.,Supply
My grandfather has a high fever and we are cut off by floods in Colombo.,Medical
We are trapped in the attic in Matara. 18 kids. Water is entering.,Rescue
The government has allocated relief funds for the Wellampitiya district.,Other
Donation needed: 18 packets of rice and curry for lunch in Colombo.,Supply
Boat capsized in Wattala. 4 people in the water. Need help!,Rescue
Kalutara bridge is at risk of collapse. Police have closed it.,Utility
Need ambulance to Kelaniya for an elderly person with chest pain.,Medical
Helicopter rescue needed for a group of hikers in Colombo.,Rescue
River overflow in Wellampitiya. Level 10.2m. Critical warning issued.,Utility
Just saw on news that Ratnapura town is flooded. Hope everyone is safe.,Other
Kalutara bridge is at risk of collapse. Police have closed it.,Utility
Just saw on news that Kolonnawa town is flooded. Hope everyone is safe.,Other
My dog is missing in Kandy. Has anyone seen him?,Other
BREAKING: Water levels in Kalu Ganga (Kelaniya) have reached 7.9 meters. Warning!,Utility
Gampaha hospital is requesting urgent medicine for 6 patients.,Medical
Boat capsized in Kandy. 4 people in the water. Need help!,Rescue
SOS: 17 people trapped on a roof in Wattala. Water rising fast.,Rescue
I lost my ID card in the flood in Colombo. What should I do?,Other
Need ambulance to Nuwara Eliya for an elderly person with chest pain.,Medical
Just saw on news that Kandy town is flooded. Hope everyone is safe.,Other
Donation drive happening at the town hall in Gampaha tomorrow.,Other
SOS: 5 people stranded on a rock in Nilwala River. Water rising rapidly.,Rescue
Gampaha hospital is requesting drinking water and food for patients.,Supply
We are trapped in the attic in Ratnapura. 10 kids. Water is entering.,Rescue
SOS: 8 people stranded on a rock in Mahaweli River. Water rising rapidly.,Rescue
Update: Galle Road road cleared near Wattala. Traffic moving slowly.,Utility
Warning: Dengue risk is high in Wattala due to stagnant water.,Medical
Kalutara bridge is at risk of collapse. Police have closed it.,Utility
My dog is missing in Kandy. Has anyone seen him?,Other
We need milk powder and diapers for 12 babies at the Ja-Ela camp.,Supply
We need blankets and clothes for the children at the Kandy school.,Supply
Emergency: Tree fell on a house in Ja-Ela. 10 injured.,Medical
Donation needed: 15 packets of rice and curry for lunch in Wattala.,Supply
I lost my ID card in the flood in Badulla. What should I do?,Other
Requesting 500 liters of drinking water for the shelter in Badulla.,Supply
Please pray for Sri Lanka. Stay safe everyone.,Other
Requesting 500 liters of drinking water for the shelter in Badulla.,Supply
Just arrived at the shelter in Kelaniya. It's crowded but safe.,Other
My dog is missing in Colombo. Has anyone seen him?,Other
Boat capsized in Wattala. 4 people in the water. Need help!,Rescue
SOS: 19 people stranded on a rock in Kalu Ganga. Water rising rapidly.,Rescue
Boat capsized in Ratnapura. 8 people in the water. Need help!,Rescue
Boat capsized in Wellampitiya. 16 people in the water. Need help!,Rescue
Update: Kandy Road road cleared near Ratnapura. Traffic moving slowly.,Utility
Need ambulance to Kegalle for an elderly person with chest pain.,Medical
River overflow in Wattala. Level 5.4m. Critical warning issued.,Utility
Gampaha hospital is requesting drinking water and food for patients.,Supply
Electricity restored in some parts of Ja-Ela. Infrastructure stable.,Utility
River overflow in Ja-Ela. Level 4.8m. Critical warning issued.,Utility
We need milk powder and diapers for 12 babies at the Kandy camp.,Supply
Gampaha hospital is requesting urgent medicine for 5 patients.,Medical
Does anyone have extra dry rations for the camp in Wattala?,Supply
My sister is stuck in a tree in Kelaniya (immediate danger).,Rescue
Help! My neighbor is bedridden and the water is knee deep. Location: Wattala.,Medical
Road block at the entrance to the highway in Badulla. Avoid the area.,Utility
My neighbor is stuck in a tree in Ratnapura (immediate danger).,Rescue
Electricity restored in some parts of Kelaniya. Infrastructure stable.,Utility
Help! My uncle is bedridden and the water is knee deep. Location: Kandy.,Medical
We need milk powder and diapers for 11 babies at the Kandy camp.,Supply
We need milk powder and diapers for 19 babies at the Ja-Ela camp.,Supply
Emergency: Matara area flooded. People stranded on top of a van.,Rescue
The government has allocated relief funds for the Colombo district.,Other
I lost my ID card in the flood in Colombo. What should I do?,Other
Gampaha hospital is requesting urgent medicine for 7 patients.,Medical
We need blankets and clothes for the children at the Badulla school.,Supply
Just arrived at the shelter in Wattala. It's crowded but safe.,Other
Donation drive happening at the town hall in Matara tomorrow.,Other
Just saw on news that Matara town is flooded. Hope everyone is safe.,Other
Helicopter rescue needed for a group of hikers in Ratnapura.,Rescue
Gampaha hospital is requesting urgent medicine for 6 patients.,Medical
We are trapped in the attic in Kandy. 19 kids. Water is entering.,Rescue
Road block at the entrance to the highway in Wattala. Avoid the area.,Utility
Donation needed: 18 packets of rice and curry for lunch in Nuwara Eliya.,Supply
We need milk powder and diapers for 4 babies at the Matara camp.,Supply
Does anyone have extra dry rations for the camp in Wellampitiya?,Supply
Please pray for Sri Lanka. Stay safe everyone.,Other
Update: Low Level Road road cleared near Wellampitiya. Traffic moving slowly.,Utility
We need milk powder and diapers for 6 babies at the Badulla camp.,Supply
I lost my ID card in the flood in Colombo. What should I do?,Other
Does anyone have extra dry rations for the camp in Kandy?,Supply
Emergency: Kegalle area flooded. People stranded on top of a van.,Rescue
We need milk powder and diapers for 15 babies at the Wellampitiya camp.,Supply
Emergency: Kolonnawa area flooded. People stranded on top of a van.,Rescue
My dog is missing in Colombo. Has anyone seen him?,Other
We need milk powder and diapers for 8 babies at the Kelaniya camp.,Supply
SOS: 8 people trapped on a roof in Kegalle. Water rising fast.,Rescue
I lost my ID card in the flood in Badulla. What should I do?,Other
Gampaha hospital is requesting urgent medicine for 16 patients.,Medical
Requesting 500 liters of drinking water for the shelter in Ja-Ela.,Supply
Just saw on news that Kelaniya town is flooded. Hope everyone is safe.,Other
Just arrived at the shelter in Wattala. It's crowded but safe.,Other
Donation needed: 7 packets of rice and curry for lunch in Matara.,Supply
Please pray for Sri Lanka. Stay safe everyone.,Other
We are trapped in the attic in Kandy. 11 kids. Water is entering.,Rescue
Helicopter rescue needed for a group of hikers in Gampaha.,Rescue
My grandfather has a high fever and we are cut off by floods in Ratnapura.,Medical
I lost my ID card in the flood in Kegalle. What should I do?,Other
Requesting 500 liters of drinking water for the shelter in Badulla.,Supply
Update: High Level Road road cleared near Colombo. Traffic moving slowly.,Utility
BREAKING: Water levels in Mahaweli River (Badulla) have reached 9.2 meters. Warning!,Utility
We need blankets and clothes for the children at the Ja-Ela school.,Supply
We need blankets and clothes for the children at the Kelaniya school.,Supply
Help! My uncle is bedridden and the water is knee deep. Location: Gampaha.,Medical
River overflow in Kegalle. Level 10.3m. Critical warning issued.,Utility
Please pray for Sri Lanka. Stay safe everyone.,Other
Need ambulance to Wattala for an elderly person with chest pain.,Medical
I lost my ID card in the flood in Matara. What should I do?,Other
Does anyone have extra dry rations for the camp in Kegalle?,Supply
Donation drive happening at the town hall in Colombo tomorrow.,Other
Rescue needed: Pregnant woman in labor at Kelaniya. Cannot reach hospital.,Medical
Is the highway open? I need to get to the airport from Gampaha.,Utility
Kalutara bridge is at risk of collapse. Police have closed it.,Utility
Is the highway open? I need to get to the airport from Kolonnawa.,Utility
Just saw on news that Kandy town is flooded. Hope everyone is safe.,Other
My sister is stuck in a tree in Badulla (immediate danger).,Rescue
Gampaha hospital is requesting drinking water and food for patients.,Supply
River overflow in Wellampitiya. Level 7.7m. Critical warning issued.,Utility
My dog is missing in Gampaha. Has anyone seen him?,Other
Does anyone have extra dry rations for the camp in Gampaha?,Supply
Just saw on news that Kandy town is flooded. Hope everyone is safe.,Other
Please pray for Sri Lanka. Stay safe everyone.,Other
Is the highway open? I need to get to the airport from Badulla.,Utility
River overflow in Ja-Ela. Level 5.2m. Critical warning issued.,Utility
My uncle is stuck in a tree in Kegalle (immediate danger).,Rescue
Need ambulance to Matara for an elderly person with chest pain.,Medical
Rescue needed: Pregnant woman in labor at Nuwara Eliya. Cannot reach hospital.,Medical
Gampaha hospital is requesting urgent medicine for 7 patients.,Medical
SOS: 7 people stranded on a rock in Kalu Ganga. Water rising rapidly.,Rescue
Gampaha hospital is requesting drinking water and food for patients.,Supply
URGENT: Landslide in Matara. 13 houses buried. Need rescue team immediately.,Rescue
Does anyone have extra dry rations for the camp in Nuwara Eliya?,Supply
Please pray for Sri Lanka. Stay safe everyone.,Other
The government has allocated relief funds for the Nuwara Eliya district.,Other
Requesting 500 liters of drinking water for the shelter in Wellampitiya.,Supply
River overflow in Matara. Level 8.8m. Critical warning issued.,Utility
SOS: 13 people trapped on a roof in Kelaniya. Water rising fast.,Rescue
BREAKING: Water levels in Nilwala River (Wellampitiya) have reached 8.3 meters. Warning!,Utility
My grandmother has a high fever and we are cut off by floods in Wattala.,Medical
Is the highway open? I need to get to the airport from Wattala.,Utility
SOS: 20 people trapped on a roof in Ja-Ela. Water rising fast.,Rescue
SOS: 4 people stranded on a rock in Kalu Ganga. Water rising rapidly.,Rescue
Kalutara bridge is at risk of collapse. Police have closed it.,Utility
Donation drive happening at the town hall in Wattala tomorrow.,Other
Please pray for Sri Lanka. Stay safe everyone.,Other
Does anyone have extra dry rations for the camp in Wattala?,Supply
Gampaha hospital is requesting drinking water and food for patients.,Supply
Gampaha hospital is requesting urgent medicine for 7 patients.,Medical
BREAKING: Water levels in Mahaweli River (Ratnapura) have reached 6.6 meters. Warning!,Utility
Just saw on news that Kegalle town is flooded. Hope everyone is safe.,Other
SOS: 17 people stranded on a rock in Kalu Ganga. Water rising rapidly.,Rescue
Is the highway open? I need to get to the airport from Wellampitiya.,Utility
Does anyone have extra dry rations for the camp in Kandy?,Supply
Emergency: Tree fell on a house in Ja-Ela. 3 injured.,Medical
Update: Kandy Road road cleared near Ratnapura. Traffic moving slowly.,Utility
Gampaha hospital is requesting urgent medicine for 16 patients.,Medical
Emergency: Tree fell on a house in Colombo. 19 injured.,Medical
Requesting 500 liters of drinking water for the shelter in Kelaniya.,Supply
Update: Low Level Road road cleared near Matara. Traffic moving slowly.,Utility
Emergency: Ja-Ela area flooded. People stranded on top of a van.,Rescue
Warning: Dengue risk is high in Kegalle due to stagnant water.,Medical
River overflow in Wattala. Level 9.6m. Critical warning issued.,Utility
Is the highway open? I need to get to the airport from Ja-Ela.,Utility
We need blankets and clothes for the children at the Kolonnawa school.,Supply
Warning: Dengue risk is high in Kolonnawa due to stagnant water.,Medical
Just saw on news that Ja-Ela town is flooded. Hope everyone is safe.,Other
Does anyone have extra dry rations for the camp in Badulla?,Supply
BREAKING: Water levels in Kelani River (Kelaniya) have reached 10.2 meters. Warning!,Utility
Gampaha hospital is requesting urgent medicine for 7 patients.,Medical
My uncle is stuck in a tree in Kolonnawa (immediate danger).,Rescue
Warning: Dengue risk is high in Ratnapura due to stagnant water.,Medical
Requesting 500 liters of drinking water for the shelter in Ja-Ela.,Supply
Requesting 500 liters of drinking water for the shelter in Gampaha.,Supply
Update: Low Level Road road cleared near Colombo. Traffic moving slowly.,Utility
Warning: Dengue risk is high in Ja-Ela due to stagnant water.,Medical
We need milk powder and diapers for 20 babies at the Kelaniya camp.,Supply
Gampaha hospital is requesting drinking water and food for patients.,Supply
Donation needed: 16 packets of rice and curry for lunch in Kelaniya.,Supply
Just arrived at the shelter in Ratnapura. It's crowded but safe.,Other
We need milk powder and diapers for 6 babies at the Kegalle camp.,Supply
BREAKING: Water levels in Mahaweli River (Wellampitiya) have reached 7.9 meters. Warning!,Utility
Please pray for Sri Lanka. Stay safe everyone.,Other
Need ambulance to Kolonnawa for an elderly person with chest pain.,Medical
SOS: 12 people stranded on a rock in Nilwala River. Water rising rapidly.,Rescue
Road block at the entrance to the highway in Badulla. Avoid the area.,Utility
Just saw on news that Badulla town is flooded. Hope everyone is safe.,Other
We are trapped in the attic in Wattala. 16 kids. Water is entering.,Rescue
Kalutara bridge is at risk of collapse. Police have closed it.,Utility
I lost my ID card in the flood in Ratnapura. What should I do?,Other
We are trapped in the attic in Kandy. 15 kids. Water is entering.,Rescue
Donation drive happening at the town hall in Gampaha tomorrow.,Other
Need ambulance to Gampaha for an elderly person with chest pain.,Medical
We need milk powder and diapers for 10 babies at the Kandy camp.,Supply
URGENT: Landslide in Kandy. 11 houses buried. Need rescue team immediately.,Rescue
Requesting 500 liters of drinking water for the shelter in Kandy.,Supply
BREAKING: Water levels in Kelani River (Ja-Ela) have reached 8.9 meters. Warning!,Utility
We need milk powder and diapers for 19 babies at the Kolonnawa camp.,Supply
Update: Low Level Road road cleared near Nuwara Eliya. Traffic moving slowly.,Utility
My grandfather has a high fever and we are cut off by floods in Wellampitiya.,Medical
Just saw on news that Ja-Ela town is flooded. Hope everyone is safe.,Other
I lost my ID card in the flood in Badulla. What should I do?,Other
Please pray for Sri Lanka. Stay safe everyone.,Other
We need milk powder and diapers for 11 babies at the Kolonnawa camp.,Supply
Electricity restored in some parts of Matara. Infrastructure stable.,Utility
Electricity restored in some parts of Colombo. Infrastructure stable.,Utility
Warning: Dengue risk is high in Kelaniya due to stagnant water.,Medical
Gampaha hospital is requesting drinking water and food for patients.,Supply
Just saw on news that Kelaniya town is flooded. Hope everyone is safe.,Other
Is the highway open? I need to get to the airport from Kelaniya.,Utility
Rescue needed: Pregnant woman in labor at Kelaniya. Cannot reach hospital.,Medical
Does anyone have extra dry rations for the camp in Colombo?,Supply
Emergency: Tree fell on a house in Wattala. 13 injured.,Medical
Just arrived at the shelter in Ratnapura. It's crowded but safe.,Other
Boat capsized in Wattala. 11 people in the water. Need help!,Rescue
Emergency: Tree fell on a house in Kolonnawa. 12 injured.,Medical
SOS: 13 people stranded on a rock in Kelani River. Water rising rapidly.,Rescue
Rescue needed: Pregnant woman in labor at Kandy. Cannot reach hospital.,Medical
SOS: 16 people trapped on a roof in Ratnapura. Water rising fast.,Rescue
Help! My grandfather is bedridden and the water is knee deep. Location: Nuwara Eliya.,Medical
BREAKING: Water levels in Nilwala River (Colombo) have reached 4.9 meters. Warning!,Utility
Emergency: Badulla area flooded. People stranded on top of a van.,Rescue
SOS: 2 people trapped on a roof in Kelaniya. Water rising fast.,Rescue
Electricity restored in some parts of Kolonnawa. Infrastructure stable.,Utility
Requesting 500 liters of drinking water for the shelter in Matara.,Supply
My grandmother is stuck in a tree in Kandy (immediate danger).,Rescue
Donation needed: 17 packets of rice and curry for lunch in Kegalle.,Supply
BREAKING: Water levels in Nilwala River (Kandy) have reached 6.9 meters. Warning!,Utility
Kalutara bridge is at risk of collapse. Police have closed it.,Utility
Gampaha hospital is requesting urgent medicine for 7 patients.,Medical
The government has allocated relief funds for the Wattala district.,Other
I lost my ID card in the flood in Kegalle. What should I do?,Other
Gampaha hospital is requesting drinking water and food for patients.,Supply
Kalutara bridge is at risk of collapse. Police have closed it.,Utility
Emergency: Tree fell on a house in Matara. 12 injured.,Medical
Emergency: Tree fell on a house in Kandy. 6 injured.,Medical
URGENT: Landslide in Gampaha. 9 houses buried. Need rescue team immediately.,Rescue
Electricity restored in some parts of Gampaha. Infrastructure stable.,Utility
Just saw on news that Kelaniya town is flooded. Hope everyone is safe.,Other
I lost my ID card in the flood in Gampaha. What should I do?,Other
My dog is missing in Kegalle. Has anyone seen him?,Other
My dog is missing in Ratnapura. Has anyone seen him?,Other
My dog is missing in Kelaniya. Has anyone seen him?,Other
Gampaha hospital is requesting drinking water and food for patients.,Supply
SOS: 20 people trapped on a roof in Ja-Ela. Water rising fast.,Rescue
Gampaha hospital is requesting urgent medicine for 14 patients.,Medical
SOS: 16 people stranded on a rock in Nilwala River. Water rising rapidly.,Rescue
Emergency: Tree fell on a house in Gampaha. 5 injured.,Medical
Need ambulance to Gampaha for an elderly person with chest pain.,Medical
Just arrived at the shelter in Kolonnawa. It's crowded but safe.,Other
SOS: 7 people stranded on a rock in Kalu Ganga. Water rising rapidly.,Rescue
Emergency: Tree fell on a house in Colombo. 9 injured.,Medical
My grandmother is stuck in a tree in Colombo (immediate danger).,Rescue
Boat capsized in Ratnapura. 15 people in the water. Need help!,Rescue
Donation needed: 16 packets of rice and curry for lunch in Wattala.,Supply
Help! My brother is bedridden and the water is knee deep. Location: Badulla.,Medical
Update: Low Level Road road cleared near Kelaniya. Traffic moving slowly.,Utility
Is the highway open? I need to get to the airport from Kelaniya.,Utility
Just arrived at the shelter in Colombo. It's crowded but safe.,Other
Road block at the entrance to the highway in Gampaha. Avoid the area.,Utility
My sister has a high fever and we are cut off by floods in Badulla.,Medical
Please pray for Sri Lanka. Stay safe everyone.,Other
We need milk powder and diapers for 16 babies at the Ja-Ela camp.,Supply
Just arrived at the shelter in Matara. It's crowded but safe.,Other
BREAKING: Water levels in Mahaweli River (Ratnapura) have reached 6.9 meters. Warning!,Utility
Just saw on news that Matara town is flooded. Hope everyone is safe.,Other
Emergency: Ja-Ela area flooded. People stranded on top of a van.,Rescue
Need ambulance to Ja-Ela for an elderly person with chest pain.,Medical
Donation drive happening at the town hall in Colombo tomorrow.,Other
Emergency: Wattala area flooded. People stranded on top of a van.,Rescue
We are trapped in the attic in Ja-Ela. 15 kids. Water is entering.,Rescue
Road block at the entrance to the highway in Ratnapura. Avoid the area.,Utility
Donation needed: 16 packets of rice and curry for lunch in Matara.,Supply
Is the highway open? I need to get to the airport from Wellampitiya.,Utility
Gampaha hospital is requesting urgent medicine for 13 patients.,Medical
Emergency: Tree fell on a house in Matara. 4 injured.,Medical
Is the highway open? I need to get to the airport from Kelaniya.,Utility
We need blankets and clothes for the children at the Ja-Ela school.,Supply
Boat capsized in Ja-Ela. 16 people in the water. Need help!,Rescue
Requesting 500 liters of drinking water for the shelter in Badulla.,Supply
The government has allocated relief funds for the Gampaha district.,Other
We need blankets and clothes for the children at the Badulla school.,Supply
We need blankets and clothes for the children at the Ratnapura school.,Supply
We need milk powder and diapers for 8 babies at the Colombo camp.,Supply
Kalutara bridge is at risk of collapse. Police have closed it.,Utility
Gampaha hospital is requesting drinking water and food for patients.,Supply
We need blankets and clothes for the children at the Kelaniya school.,Supply
My brother is stuck in a tree in Colombo (immediate danger).,Rescue
Help! My grandfather is bedridden and the water is knee deep. Location: Kegalle.,Medical
Donation needed: 5 packets of rice and curry for lunch in Ratnapura.,Supply
I lost my ID card in the flood in Badulla. What should I do?,Other
Is the highway open? I need to get to the airport from Ratnapura.,Utility
We need milk powder and diapers for 7 babies at the Gampaha camp.,Supply
Boat capsized in Matara. 6 people in the water. Need help!,Rescue
Is the highway open? I need to get to the airport from Nuwara Eliya.,Utility
Gampaha hospital is requesting drinking water and food for patients.,Supply
URGENT: Landslide in Kegalle. 20 houses buried. Need rescue team immediately.,Rescue
Rescue needed: Pregnant woman in labor at Wellampitiya. Cannot reach hospital.,Medical
I lost my ID card in the flood in Kandy. What should I do?,Other
SOS: 2 people trapped on a roof in Kelaniya. Water rising fast.,Rescue
Just saw on news that Kelaniya town is flooded. Hope everyone is safe.,Other
Road block at the entrance to the highway in Kelaniya. Avoid the area.,Utility
Help! My brother is bedridden and the water is knee deep. Location: Kelaniya.,Medical
Emergency: Tree fell on a house in Matara. 6 injured.,Medical
Is the highway open? I need to get to the airport from Wellampitiya.,Utility
Gampaha hospital is requesting drinking water and food for patients.,Supply
Road block at the entrance to the highway in Kegalle. Avoid the area.,Utility
We need milk powder and diapers for 6 babies at the Kolonnawa camp.,Supply
Requesting 500 liters of drinking water for the shelter in Ratnapura.,Supply
URGENT: Landslide in Gampaha. 5 houses buried. Need rescue team immediately.,Rescue
SOS: 12 people trapped on a roof in Wellampitiya. Water rising fast.,Rescue
SOS: 6 people stranded on a rock in Kalu Ganga. Water rising rapidly.,Rescue
Rescue needed: Pregnant woman in labor at Badulla. Cannot reach hospital.,Medical
We are trapped in the attic in Kolonnawa. 20 kids. Water is entering.,Rescue
Requesting 500 liters of drinking water for the shelter in Wattala.,Supply
Gampaha hospital is requesting drinking water and food for patients.,Supply
Donation drive happening at the town hall in Wellampitiya tomorrow.,Other
My sister is stuck in a tree in Ja-Ela (immediate danger).,Rescue
Rescue needed: Pregnant woman in labor at Nuwara Eliya. Cannot reach hospital.,Medical
Please pray for Sri Lanka. Stay safe everyone.,Other
We need blankets and clothes for the children at the Wattala school.,Supply
Warning: Dengue risk is high in Nuwara Eliya due to stagnant water.,Medical
Is the highway open? I need to get to the airport from Kolonnawa.,Utility
Just arrived at the shelter in Kandy. It's crowded but safe.,Other
Gampaha hospital is requesting urgent medicine for 19 patients.,Medical
Just saw on news that Ratnapura town is flooded. Hope everyone is safe.,Other
BREAKING: Water levels in Kalu Ganga (Wattala) have reached 6.5 meters. Warning!,Utility
Road block at the entrance to the highway in Colombo. Avoid the area.,Utility
The government has allocated relief funds for the Badulla district.,Other
My neighbor is stuck in a tree in Colombo (immediate danger).,Rescue
Just saw on news that Kegalle town is flooded. Hope everyone is safe.,Other
Requesting 500 liters of drinking water for the shelter in Wattala.,Supply
Emergency: Tree fell on a house in Kolonnawa. 16 injured.,Medical
Boat capsized in Wattala. 13 people in the water. Need help!,Rescue
Electricity restored in some parts of Ratnapura. Infrastructure stable.,Utility
Gampaha hospital is requesting drinking water and food for patients.,Supply
Kalutara bridge is at risk of collapse. Police have closed it.,Utility
Does anyone have extra dry rations for the camp in Colombo?,Supply
Just arrived at the shelter in Matara. It's crowded but safe.,Other
River overflow in Kegalle. Level 5.4m. Critical warning issued.,Utility
SOS: 11 people trapped on a roof in Badulla. Water rising fast.,Rescue
Need ambulance to Kandy for an elderly person with chest pain.,Medical
SOS: 14 people trapped on a roof in Nuwara Eliya. Water rising fast.,Rescue
Warning: Dengue risk is high in Kegalle due to stagnant water.,Medical
We need blankets and clothes for the children at the Ratnapura school.,Supply
Need ambulance to Matara for an elderly person with chest pain.,Medical
Emergency: Gampaha area flooded. People stranded on top of a van.,Rescue
Just arrived at the shelter in Badulla. It's crowded but safe.,Other
Requesting 500 liters of drinking water for the shelter in Kelaniya.,Supply
Emergency: Tree fell on a house in Wattala. 2 injured.,Medical
River overflow in Matara. Level 10.5m. Critical warning issued.,Utility
Please pray for Sri Lanka. Stay safe everyone.,Other
Gampaha hospital is requesting drinking water and food for patients.,Supply
Just arrived at the shelter in Kelaniya. It's crowded but safe.,Other
Does anyone have extra dry rations for the camp in Colombo?,Supply
I lost my ID card in the flood in Kegalle. What should I do?,Other
Help! My grandfather is bedridden and the water is knee deep. Location: Ja-Ela.,Medical
My dog is missing in Kolonnawa. Has anyone seen him?,Other
Donation needed: 18 packets of rice and curry for lunch in Matara.,Supply
I lost my ID card in the flood in Wellampitiya. What should I do?,Other
Just saw on news that Ratnapura town is flooded. Hope everyone is safe.,Other
Donation drive happening at the town hall in Badulla tomorrow.,Other
Warning: Dengue risk is high in Wellampitiya due to stagnant water.,Medical
Rescue needed: Pregnant woman in labor at Kegalle. Cannot reach hospital.,Medical
Donation drive happening at the town hall in Badulla tomorrow.,Other
Gampaha hospital is requesting urgent medicine for 18 patients.,Medical
We need milk powder and diapers for 9 babies at the Nuwara Eliya camp.,Supply
Emergency: Tree fell on a house in Kelaniya. 9 injured.,Medical
We need milk powder and diapers for 5 babies at the Wellampitiya camp.,Supply
Rescue needed: Pregnant woman in labor at Wattala. Cannot reach hospital.,Medical
Road block at the entrance to the highway in Kegalle. Avoid the area.,Utility
BREAKING: Water levels in Kelani River (Gampaha) have reached 6.5 meters. Warning!,Utility
Gampaha hospital is requesting drinking water and food for patients.,Supply
